method,test_case,participant,fluency,exposure,contrast,color,sharpness,noise,compression_artifacts,aesthetic
v2181,Maxwell,148f22ba-ed8e-4f96-827b-2afb9db9e1d3,0,0,0,0,0,1,-1,0
v1190,Maxwell,148f22ba-ed8e-4f96-827b-2afb9db9e1d3,0,0,0,0,0,1,0,0
v4511,Maxwell,148f22ba-ed8e-4f96-827b-2afb9db9e1d3,0,0,1,1,0,1,0,0
v4034,Maxwell,148f22ba-ed8e-4f96-827b-2afb9db9e1d3,0,0,0,0,1,1,-1,0
v1190,Maxwell,148f22ba-ed8e-4f96-827b-2afb9db9e1d3,0,-1,-1,-1,0,0,-1,0
v4097,Maxwell,148f22ba-ed8e-4f96-827b-2afb9db9e1d3,0,1,1,0,0,1,1,1
v3292,Maxwell,148f22ba-ed8e-4f96-827b-2afb9db9e1d3,0,0,-1,-1,0,1,-1,0
v0162,Maxwell,148f22ba-ed8e-4f96-827b-2afb9db9e1d3,0,0,-1,0,0,-1,0,0
v4537,Maxwell,148f22ba-ed8e-4f96-827b-2afb9db9e1d3,0,0,0,0,0,1,0,0
v0265,Maxwell,148f22ba-ed8e-4f96-827b-2afb9db9e1d3,-1,-1,0,0,0,-1,-1,0
v1447,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,0,0,0,0,0,1,1,0
v3175,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,0,0,-1,-1,-1,1,1,0
v1703,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,-1,0,0,1,1,1,1,1
v1477,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,0,0,0,0,0,1,1,0
v2083,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,0,0,-1,-1,-1,0,1,0
v1397,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,-1,0,0,0,0,0,1,0
v2801,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,0,0,0,0,0,1,1,0
v1190,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,0,0,-1,-1,0,1,1,0
v2519,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,1,1,1,0,0,1,1,1
v0162,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,0,-1,-1,-1,-1,0,1,-1
v2525,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,0,-1,-1,-1,-1,1,1,-1
v4048,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,1,1,1,1,1,1,1,1
v0009,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,1,-1,-1,-1,0,1,1,-1
v4166,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,1,0,1,1,0,1,1,1
v1025,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,-1,0,0,0,-1,0,1,0
v0530,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,0,-1,-1,-1,-1,0,1,0
v0162,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,0,-1,-1,-1,-1,1,1,0
v2801,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,0,-1,-1,-1,-1,1,1,0
v3355,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,0,0,0,0,0,0,1,0
v0886,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,0,0,0,0,0,0,1,0
v4125,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,1,0,-1,0,-1,0,1,0
v4511,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,-1,1,1,1,1,1,1,1
v0530,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,0,-1,-1,-1,-1,0,0,-1
v4537,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,1,1,1,1,1,1,1,1
v0265,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,0,0,-1,-1,-1,-1,1,-1
v2349,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,1,1,1,1,1,1,1,1
v1190,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,1,1,0,0,0,0,0,1
v2328,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,0,0,0,-1,-1,0,0,-1
v1190,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,1,0,0,0,0,0,0,0
v2525,Maxwell,20d9d51e-231e-4048-90ac-ae0f2f6906d1,0,-1,-1,-1,-1,-1,0,0
v4034,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,0,1,0,0,0,1,1,0
v0824,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,0,-1,-1,-1,0,0,1,-1
v4235,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,1,1,0,0,0,1,1,0
v2083,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,-1,1,0,1,-1,0,0,0
v4511,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,1,1,1,1,1,1,1,1
v0314,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,-1,0,0,0,-1,0,0,0
v2525,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,1,0,0,0,0,0,0,0
v2519,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,1,1,1,1,1,1,1,1
v1373,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,1,0,0,0,0,0,1,0
v4097,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,1,1,1,1,1,1,1,1
v3355,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,1,0,0,0,0,1,1,0
v2525,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,0,-1,0,-1,-1,0,0,0
v2889,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,1,0,0,0,0,1,1,0
v0032,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,1,-1,-1,0,-1,0,1,-1
v0824,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,0,0,-1,-1,-1,-1,0,-1
v4166,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,1,1,0,0,1,1,1,0
v2349,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,0,1,0,0,0,1,1,0
v3175,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,0,0,-1,-1,-1,0,1,-1
v0094,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,-1,-1,-1,-1,-1,0,1,-1
v4048,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,1,1,1,0,1,1,1,1
v3583,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,0,1,0,0,1,1,1,0
v1447,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,1,0,0,0,0,1,1,0
v4034,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,0,0,0,0,0,1,1,0
v1477,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,0,0,1,0,1,0,-1,0
v0878,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,-1,-1,0,0,0,0,1,-1
v4235,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,1,1,1,0,1,1,1,0
v1984,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,0,0,-1,0,-1,0,1,-1
v2801,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,1,1,0,0,0,1,1,0
v0328,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,0,1,0,0,0,-1,0,-1
v2181,Maxwell,d02f408f-c495-4a1f-83e0-411da8e86fed,1,0,-1,0,0,1,1,0
v0878,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,1,-1,1,-1,1,1,1,-1
v2519,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,0,1,-1,0,0,1,1,1
v3555,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,-1,1,1,1,1,1,1,0
v4048,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,1,1,1,0,1,1,1,0
v2889,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,-1,1,-1,0,-1,1,1,0
v4235,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,1,1,1,-1,1,1,1,-1
v4034,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,0,0,1,1,1,1,1,1
v2525,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,0,0,-1,0,-1,1,1,0
v2181,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,-1,0,-1,-1,-1,1,1,-1
v4048,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,0,1,1,0,1,1,1,0
v3292,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,0,0,0,0,0,1,1,0
v2828,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,-1,0,-1,1,-1,1,1,1
v2889,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,-1,-1,-1,0,-1,1,1,-1
v2349,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,0,1,1,1,1,1,1,0
v2828,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,0,0,0,0,0,1,1,0
v4235,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,0,-1,1,-1,1,1,1,-1
v1394,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,1,0,-1,0,-1,1,1,1
v2828,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,-1,0,-1,0,-1,1,1,0
v1373,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,1,0,-1,0,-1,1,1,0
v2513,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,-1,-1,-1,-1,-1,1,1,0
v4166,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,1,0,0,0,1,1,1,0
v0265,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,-1,-1,-1,-1,-1,1,1,0
v2513,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,-1,-1,-1,0,-1,1,1,0
v0824,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,0,1,1,1,1,1,1,0
v0886,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,0,-1,-1,-1,-1,1,1,0
v4048,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,0,1,1,1,1,1,1,0
v2889,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,0,0,-1,-1,-1,1,-1,-1
v4537,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,0,1,1,1,1,1,1,1
v4048,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,0,1,1,0,1,1,1,0
v0824,Maxwell,7eb95ab6-eca8-489b-b426-e9b15a50c9cb,-1,-1,-1,-1,-1,1,1,-1
v4034,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,1,1,1,1,1,1,1,1
v0009,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,-1,-1,-1,-1,-1,-1,-1,-1
v3355,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,1,-1,0,0,0,1,0,0
v4034,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,1,1,1,0,1,1,1,1
v2328,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,1,-1,0,-1,-1,0,0,0
v4097,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,1,1,1,1,1,1,1,1
v2083,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,-1,0,0,0,-1,0,0,0
v1984,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,1,0,-1,-1,0,0,0,0
v2181,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,1,1,0,0,0,0,0,0
v0824,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,0,-1,-1,-1,-1,0,0,0
v0032,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,0,-1,0,-1,0,0,1,-1
v2513,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,1,0,0,-1,0,0,0,-1
v1477,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,-1,0,0,0,0,0,0,0
v3292,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,1,0,-1,-1,0,0,1,0
v4097,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,1,1,1,1,1,1,1,1
v1397,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,-1,0,-1,0,-1,-1,-1,0
v0878,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,-1,-1,0,0,0,0,0,0
v4166,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,1,0,0,1,0,1,1,0
v4537,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,1,1,1,1,1,1,1,1
v2801,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,0,0,-1,-1,-1,-1,0,0
v2328,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,1,-1,0,0,0,1,1,0
v1397,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,-1,0,0,0,-1,-1,-1,0
v1190,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,1,1,1,1,1,1,1,1
v0529,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,-1,0,0,0,-1,-1,-1,-1
v2181,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,1,0,0,0,0,0,1,0
v3555,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,0,0,1,1,1,1,1,1
v2419,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,0,-1,0,0,0,0,0,0
v0530,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,0,-1,-1,-1,-1,-1,-1,-1
v1373,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,1,0,0,0,-1,0,0,0
v3740,Maxwell,2e51a290-d08f-4b97-b0d1-c0cca3833712,1,0,0,0,1,1,1,0
v0094,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,-1,-1,-1,-1,-1,-1,-1,-1
v2635,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,1,1,1,1,1,1
v1477,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,1,1,0,0,-1,0
v0009,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,-1,-1,-1,-1,-1,-1,-1,-1
v4537,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,1,1,1,1,1,1
v0094,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,-1,-1,-1,-1,-1,-1,-1
v2349,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,1,1,1,1,1,1
v0878,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,1,1,0,1,-1,-1
v0529,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,-1,-1,-1,-1,-1,-1
v3583,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,1,1,1,1,1,1
v0032,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,-1,-1,0,1,-1,-1
v2801,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,-1,-1,-1,-1,-1,-1
v2519,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,-1,0,0,1,-1,-1
v2349,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,1,1,1,1,1,1
v2419,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,-1,0,0,-1,-1,-1
v3555,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,1,1,1,1,1,1
v1394,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,-1,0,-1,-1,-1,-1,-1,-1
v2349,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,1,1,1,1,1,1
v1447,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,0,0,-1,-1,-1,-1,-1,-1
v4048,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,1,1,1,1,1,1
v3740,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,1,1,1,1,1,1
v2083,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,0,1,0,1,-1,-1,1,0
v4097,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,1,1,1,1,1,1
v4034,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,0,1,1,1,0,0,1
v2419,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,1,0,1,0,1,0,0
v0162,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,-1,-1,-1,-1,-1,-1,-1
v0094,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,-1,-1,-1,-1,-1,-1,-1
v1373,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,0,-1,0,1,1,-1,0
v0094,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,-1,-1,-1,-1,-1,-1,-1
v1025,Maxwell,83d505a2-2b0d-4ae8-8f57-e375dcc387ac,1,0,0,1,1,1,1,1
v4511,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,-1,-1,-1,-1,-1,-1,-1,1
v1984,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,1,-1,1,-1,-1,-1,1
v4166,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,1,1,1,1,0,0,1
v2419,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,-1,-1,-1,-1,-1,-1,-1,0
v2519,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,0,1,0,1,1,1,1
v0094,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,-1,-1,-1,-1,-1,-1,-1,-1
v3292,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,-1,-1,1,-1,-1,0,0
v3740,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,0,0,0,1,1,1,1
v1859,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,-1,1,1,0,-1,-1,-1,-1
v1190,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,1,1,1,1,0,1,1
v4125,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,1,1,1,1,0,0,1
v4537,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,1,1,1,1,1,1,1
v1447,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,-1,0,-1,1,-1,-1,-1,1
v2801,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,1,1,1,-1,-1,0,1
v4166,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,1,1,1,1,1,1,1
v0314,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,-1,-1,-1,-1,-1,-1,-1,-1
v1373,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,-1,-1,-1,-1,-1,-1,-1,1
v4048,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,1,1,1,1,1,1,1
v2181,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,-1,-1,-1,0,0,0,1
v4125,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,1,0,1,0,0,0,1
v4125,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,1,0,1,0,-1,1,1
v0314,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,-1,-1,-1,-1,-1,-1,-1,1
v1373,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,-1,-1,-1,-1,-1,-1,0,1
v2801,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,1,0,1,-1,-1,0,1
v0328,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,-1,-1,-1,-1,-1,-1,-1,-1
v3740,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,1,1,0,1,1,1,1
v4125,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,0,-1,-1,-1,-1,0,0
v4166,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,1,1,1,0,0,1,1
v3583,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,1,1,1,1,1,1,1,1
v0328,Maxwell,a4914634-9c3a-4b63-ba2f-eae01b722ce6,-1,-1,-1,-1,-1,-1,-1,-1
v0529,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,0,-1,0,-1,1,0,1,0
v3355,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,0,-1,0,-1,-1,0,1,0
v4235,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,1,1,1,1,0,0,0,0
v2181,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,0,0,-1,-1,0,-1,0,0
v2525,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,0,-1,-1,-1,-1,-1,0,-1
v0529,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,0,0,1,0,0,-1,0,0
v1025,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,-1,0,1,0,0,-1,1,0
v0529,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,-1,0,1,-1,0,0,1,0
v2519,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,1,1,1,1,-1,0,-1,1
v4125,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,1,1,1,1,-1,1,0,-1
v2328,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,1,0,0,-1,-1,0,1,0
v2525,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,1,0,0,-1,-1,0,1,-1
v4048,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,1,1,1,1,0,1,1,1
v2889,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,-1,1,1,1,0,1,1,0
v2801,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,0,0,1,0,-1,-1,0,0
v1373,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,0,0,1,0,-1,-1,0,0
v2419,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,-1,0,1,0,1,0,0,0
v4235,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,1,1,1,0,1,0,0,0
v2083,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,-1,0,1,1,-1,-1,0,0
v3065,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,-1,1,-1,-1,-1,-1,0,0
v3355,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,1,1,1,1,0,1,0,0
v3065,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,-1,-1,0,-1,-1,-1,-1,0
v3175,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,-1,-1,1,0,-1,-1,0,0
v2083,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,-1,0,1,1,-1,0,0,0
v3583,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,1,1,1,1,1,1,1,1
v1859,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,-1,1,1,0,-1,-1,0,0
v2635,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,0,0,1,0,-1,-1,-1,0
v0530,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,-1,-1,-1,-1,-1,-1,-1,0
v3065,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,-1,-1,0,0,0,-1,-1,0
v4034,Maxwell,7ed39ffd-82b7-4d82-b17c-073138b844a6,1,1,1,1,1,1,1,0
v1394,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,-1,-1,-1,-1,-1,-1,-1,-1
v1025,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,-1,1,0,-1,-1,0,0,0
v0032,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,0,-1,-1,-1,-1,1,-1,0
v2828,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,-1,0,0,-1,-1,-1,-1,-1
v2513,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,0,-1,0,0,-1,1,1,0
v4235,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,1,1,1,0,-1,0,0,0
v2889,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,0,-1,-1,-1,-1,-1,-1,-1
v2181,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,0,1,1,0,-1,0,0,0
v2635,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,1,0,0,0,-1,0,0,0
v3355,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,0,1,1,0,-1,1,0,1
v3740,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,0,0,0,0,-1,1,1,0
v0314,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,-1,0,0,-1,-1,0,0,-1
v1190,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,1,0,1,1,0,0,0,1
v0314,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,-1,0,0,-1,-1,0,-1,-1
v0824,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,-1,-1,-1,0,-1,-1,-1,-1
v4235,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,1,1,1,1,-1,1,1,1
v0314,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,-1,0,0,-1,-1,1,-1,-1
v0265,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,0,-1,1,1,0,-1,1,1
v0328,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,0,-1,-1,-1,-1,-1,-1,-1
v1703,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,-1,1,1,0,-1,0,-1,0
v0314,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,-1,0,0,0,-1,1,1,0
v0886,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,0,-1,0,-1,0,-1,1,0
v0824,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,-1,-1,-1,0,-1,-1,-1,-1
v2181,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,0,1,1,0,-1,1,0,0
v4097,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,1,1,1,1,0,0,0,1
v1859,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,0,1,1,1,0,0,0,0
v4166,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,0,1,1,1,-1,0,-1,1
v0162,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,0,-1,1,0,-1,-1,-1,0
v0530,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,0,1,0,1,-1,-1,-1,0
v1394,Maxwell,8477eb0e-905a-4f16-a145-97a894176374,-1,1,-1,0,-1,-1,-1,0
v3583,Maxwell,31ddaa13-1309-4d47-b0ea-75b020268f37,0,1,1,1,0,0,1,1
